frame_idx,timestamp_sec,status,field_x_m,field_y_m
4680,78.0,in_play,32.669,5.34
4740,79.0,in_play,30.383,3.192
4800,80.0,in_play,31.691,2.335
4860,81.0,in_play,32.665,1.547
4920,82.0,in_play,33.878,0.657
4980,83.0,in_play,34.083,0.332
5040,84.0,in_play,33.098,-0.212
5100,85.0,in_play,32.751,0.5
5160,86.0,in_play,32.245,1.293
5220,87.0,in_play,32.573,5.702
5280,88.0,in_play,31.109,4.996
5340,89.0,in_play,30.012,5.753
5400,90.0,in_play,30.194,8.234
5460,91.0,in_play,29.979,8.848
5520,92.0,in_play,29.182,7.733
5580,93.0,in_play,26.444,6.382
5640,94.0,in_play,27.038,6.713
5700,95.0,in_play,28.053,7.853
5760,96.0,in_play,28.523,8.591
5820,97.0,invisible,,
5880,98.0,invisible,,
5940,99.0,in_play,31.376,5.014
6000,100.0,in_play,31.279,2.424
6060,101.0,in_play,29.755,0.076
6120,102.0,out_of_play,,
6180,103.0,out_of_play,,
6240,104.0,in_play,31.44,0.341
6300,105.0,in_play,34.61,2.868
6390,106.5,in_play,38.559,4.612
6450,107.5,in_play,37.59,2.368
6510,108.5,out_of_play,,
6780,113.0,invisible,,
6840,114.0,invisible,,
6900,115.0,invisible,,
6960,116.0,invisible,,
7020,117.0,invisible,,
7080,118.0,in_play,36.37,-0.365
7140,119.0,in_play,36.964,1.447
7200,120.0,in_play,37.528,1.041
7260,121.0,invisible,,
8100,135.0,invisible,,
8160,136.0,in_play,37.765,7.67
8220,137.0,invisible,,
8280,138.0,invisible,,
