review_id,frame_idx,timestamp_sec,timestamp,ball_visible,ball_in_play,review_image_x,review_image_y,source_image_x,source_image_y,field_x_m,field_y_m,source,status,note
ball_0001,1380,23.0,00:23,True,True,423.3,245.5,711.14,412.44,0.981,6.708,human,marked,
ball_0002,1440,24.0,00:24,False,False,,,,,,,human,invisible,
ball_0003,1500,25.0,00:25,False,False,,,,,,,human,invisible,
ball_0004,1560,26.0,00:26,False,False,,,,,,,human,invisible,
ball_0005,4680,78.0,01:18,True,True,1205.3,223.6,2024.9,375.65,32.669,5.34,human,marked,
ball_0006,4740,79.0,01:19,True,True,1145.0,211.0,1923.6,354.48,30.383,3.192,human,marked,
ball_0007,4800,80.0,01:20,True,True,1150.1,206.5,1932.17,346.92,31.691,2.335,human,marked,
ball_0008,4860,81.0,01:21,True,True,1151.7,202.6,1934.86,340.37,32.665,1.547,human,marked,
ball_0009,4920,82.0,01:22,True,True,1154.7,198.5,1939.9,333.48,33.878,0.657,human,marked,
ball_0010,4980,83.0,01:23,True,True,1153.0,197.0,1937.04,330.96,34.083,0.332,human,marked,
ball_0011,5040,84.0,01:24,True,True,1134.8,194.1,1906.46,326.09,33.098,-0.212,human,marked,
ball_0012,5100,85.0,01:25,True,True,1139.4,197.4,1914.19,331.63,32.751,0.5,human,marked,
ball_0013,5160,86.0,01:26,True,True,1143.3,201.2,1920.74,338.02,32.245,1.293,human,marked,
ball_0014,5220,87.0,01:27,True,True,1209.7,225.8,2032.3,379.34,32.573,5.702,human,marked,
ball_0015,5280,88.0,01:28,True,True,1180.4,221.6,1983.07,372.29,31.109,4.996,human,marked,
ball_0016,5340,89.0,01:29,True,True,1177.5,226.4,1978.2,380.35,30.012,5.753,human,marked,
ball_0017,5400,90.0,01:30,True,True,1220.8,243.2,2050.94,408.58,30.194,8.234,human,marked,
ball_0018,5460,91.0,01:31,True,True,1228.8,247.8,2064.38,416.3,29.979,8.848,human,marked,
ball_0019,5520,92.0,01:32,True,True,1198.3,240.0,2013.14,403.2,29.182,7.733,human,marked,
ball_0020,5580,93.0,01:33,True,True,1136.3,231.2,1908.98,388.42,26.444,6.382,human,marked,
ball_0021,5640,94.0,01:34,True,True,1150.5,233.4,1932.84,392.11,27.038,6.713,human,marked,
ball_0022,5700,95.0,01:35,True,True,1184.3,241.3,1989.62,405.38,28.053,7.853,human,marked,
ball_0023,5760,96.0,01:36,True,True,1203.9,246.6,2022.55,414.29,28.523,8.591,human,marked,
ball_0024,5820,97.0,01:37,False,False,,,,,,,human,invisible,
ball_0025,5880,98.0,01:38,False,False,,,,,,,human,invisible,
ball_0026,5940,99.0,01:39,True,True,1184.1,221.7,1989.29,372.46,31.376,5.014,human,marked,
ball_0027,6000,100.0,01:40,True,True,1146.1,206.9,1925.45,347.59,31.279,2.424,human,marked,
ball_0028,6060,101.0,01:41,True,True,1096.7,194.3,1842.46,326.42,29.755,0.076,human,marked,
ball_0029,6120,102.0,01:42,True,False,1068.8,186.5,1795.58,313.32,28.99,-1.465,human,marked,
ball_0030,6180,103.0,01:43,True,False,1083.7,188.7,1820.62,317.02,29.795,-1.078,human,marked,
ball_0031,6240,104.0,01:44,True,True,1121.4,196.2,1883.95,329.62,31.44,0.341,human,marked,
ball_0032,6300,105.0,01:45,True,True,1192.4,209.8,2003.23,352.46,34.61,2.868,human,marked,
ball_0033,6390,106.5,01:46,True,True,1260.6,219.3,2117.81,368.42,38.559,4.612,human,marked,
ball_0034,6450,107.5,01:48,True,True,1218.4,207.7,2046.91,348.94,37.59,2.368,human,marked,
ball_0035,6510,108.5,01:48,True,False,1161.2,187.8,1950.82,315.5,37.356,-1.988,human,marked,
ball_0036,6780,113.0,01:53,False,False,,,,,,,human,invisible,
ball_0037,6840,114.0,01:54,False,False,,,,,,,human,invisible,
ball_0038,6900,115.0,01:55,False,False,,,,,,,human,invisible,
ball_0039,6960,116.0,01:56,False,False,,,,,,,human,invisible,
ball_0040,7020,117.0,01:57,False,False,,,,,,,human,invisible,
ball_0041,7080,118.0,01:58,True,True,1170.0,194.5,1965.6,326.76,36.37,-0.365,human,marked,
ball_0042,7140,119.0,01:59,True,True,1199.4,203.1,2014.99,341.21,36.964,1.447,human,marked,
ball_0043,7200,120.0,02:00,True,True,1200.1,201.3,2016.17,338.18,37.528,1.041,human,marked,
ball_0044,7260,121.0,02:01,False,False,,,,,,,human,invisible,
